0;194;82;60
1;230;151;1
2;229;152;0
3;227;153;0
4;226;153;0
5;224;154;0
6;223;154;0
7;221;154;0
8;220;155;0
9;218;155;0
10;217;155;0
11;215;156;0
12;214;156;0
13;212;157;0
14;211;157;0
15;210;157;0
16;208;158;0
17;207;158;0
18;205;158;0
19;204;159;0
20;202;159;0
21;201;160;0
22;199;160;0
23;198;160;0
24;196;161;0
25;195;161;0
26;193;161;0
27;192;162;0
28;191;162;0
29;189;163;0
30;188;163;0
31;186;163;0
32;185;164;0
33;183;164;0
34;182;164;0
35;180;165;0
36;179;165;0
37;177;166;0
38;176;166;0
39;174;166;0
40;173;167;0
41;172;167;0
42;170;167;0
43;169;168;0
44;167;167;0
45;165;166;0
46;164;165;0
47;162;164;0
48;160;163;0
49;158;162;0
50;156;161;0
51;155;160;0
52;153;159;0
53;151;158;0
54;149;157;0
55;148;156;0
56;146;155;0
57;144;154;0
58;142;153;0
59;141;152;0
60;139;151;0
61;137;150;0
62;135;149;0
63;134;148;0
64;132;147;0
65;130;146;0
66;128;145;0
67;127;144;0
68;125;143;0
69;123;142;0
70;121;141;0
71;120;140;0
72;118;139;0
73;116;138;0
74;114;137;0
75;113;136;0
76;111;135;0
77;109;134;0
78;107;133;0
79;106;132;0
80;104;131;0
81;102;130;0
82;100;129;0
83;99;128;0
84;97;127;0
85;95;126;0
86;93;125;0
87;92;124;0
88;90;123;0
89;88;122;0
90;86;121;0
91;85;120;0
92;83;119;0
93;81;118;0
94;79;117;0
95;78;116;0
96;75;115;3
97;50;112;53
98;25;110;103
99;0;107;151
100;4;69;119
101;0;31;71
